Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
186,3062,3159,3594,3758,3907
187,2998,2940,3455,3534,3615
188,2848,3099,3406,3534,3566
189,3019,2971,3338,3591,3547
190,3083,3528,3949,4042,4151
191,3166,3334,3804,3960,3785
192,3192,3338,3697,3906,3819
193,3192,3306,3832,4138,3831
194,2965,2819,3319,3591,3456
195,3492,3657,4013,4231,4257
196,3022,3259,3644,3784,3877
197,3442,3561,4019,4206,4020
198,2732,2757,3356,3523,3367
199,2859,3301,3670,3770,3695
200,3128,3702,4224,4399,4246
201,3276,3306,3747,4115,3942
202,2965,2858,3388,3592,3517
203,3089,3114,3470,3805,3772
204,3423,3269,3705,3955,3872
205,2900,3108,3573,3649,3729
206,2780,2679,3087,3250,3342
207,3225,3292,3705,3871,3999
208,3303,3677,3990,4149,4327
209,3464,3433,3937,4244,4416
210,3225,3157,3612,3947,4114
211,2862,2922,3451,3704,3752
212,3065,2840,3446,3597,3825
213,3201,3176,3672,3849,3997
214,4301,4540,5105,5110,5151
215,3525,3744,3851,4093,4156
216,3253,3240,3420,3890,3652
217,3267,3276,3629,4005,3968
218,3267,3290,3733,4234,4092
219,3433,3551,4027,4317,4246
220,3176,3268,3735,4053,3919
221,2421,2402,2993,3075,2991
222,3434,3729,4156,4328,4219
223,3203,3296,3774,3936,3897
224,3565,3561,4033,4160,4253
225,3183,3143,3898,4085,3974
226,2995,3030,3546,3756,3657
227,2917,3165,3620,3757,3613
228,3190,3158,3798,3939,3792
229,3189,3334,3758,4032,3880
230,3312,3463,3850,3987,3977
231,3153,3249,3813,4092,3947
232,3455,3516,4050,4209,4148
233,3284,3797,4261,4466,4138
234,2835,3034,3524,3839,3565
235,3094,3376,3704,3955,3788
236,3232,3280,3815,4004,3799
237,3155,3364,3763,3937,3845
238,3008,3193,3686,3763,3680
239,3318,3338,3944,4040,3966
240,2939,3346,3854,4132,3832
241,2999,3345,3933,3916,3831
242,3377,3275,3796,4075,3774
243,2788,2893,3316,3699,3390
244,3295,3445,4054,4294,3968
245,3111,3185,3744,3864,3698
246,3345,3324,3747,4066,3897
247,3553,3515,4053,4338,4231
248,3353,3275,3788,4000,3844
249,3298,3151,3813,4014,3821
250,3061,3198,3679,3803,3764
251,2964,2893,3450,3590,3671
252,3262,3150,3641,3872,3770
253,3609,3487,4026,4292,4209
254,3338,3366,3983,4182,4114
255,3094,3000,3621,3828,3778
256,3411,3530,4189,4277,4312
257,3373,3360,4061,4247,4146
258,2810,2972,3424,3504,3552
259,3144,3488,3809,3928,4099
260,3443,3623,4092,4339,4259
261,3196,3168,3616,3829,3776
262,3019,3158,3575,3643,3701
263,3402,3390,3929,4142,4063
264,3441,3382,3937,4104,3984
265,3428,3452,3954,4147,3948
266,2980,3094,3511,3736,3576
267,3071,2859,3458,3652,3464
268,3195,3097,3620,3804,3618
269,3327,3509,4069,4305,3956
270,3118,3101,3549,3766,3522
271,3303,3321,3867,4120,3799
272,3185,3317,3790,3920,3843
273,3327,3505,3923,4160,4043
274,3145,3257,3711,3901,3844
275,3710,3668,4240,4461,4341
276,3327,3704,4132,4483,4264
277,3116,3254,3826,3896,3638
278,4809,5420,5768,5794,5700
279,3307,3353,3322,3811,3433
280,2752,3008,3074,3513,3354
281,2941,3111,3234,3693,3465
282,3271,3204,3607,4015,3903
283,3325,3390,3863,4156,4017
284,3142,3369,3764,3880,3953
285,2880,3092,3610,3808,3764
286,3444,3470,3984,4186,4300
287,3328,3143,3748,4075,3972
288,3172,3387,3905,4107,4137
289,3117,3309,3715,3884,3865
290,3244,3163,3826,4031,4037
291,3261,3289,3881,4132,4074
292,3208,3340,3944,4168,4105
293,2992,3259,3858,4060,3988
294,3118,3228,3745,3984,3877
295,3272,3328,3779,3843,4107
296,3304,3342,3949,4207,4099
297,3085,3149,3699,3774,3805
298,2930,3470,3922,4113,4067
299,3182,3222,3696,3775,3887
300,2990,2915,3451,3712,3621
301,3250,3277,3723,4072,3906
302,3189,3173,3723,3964,3928
303,2901,2980,3583,3772,3760
304,2954,3165,3695,3760,3767
305,3071,3232,3784,3885,3921
306,3148,3105,3574,3861,3703
307,3183,3526,3979,4163,4037
308,3252,3975,4294,4497,4607
309,3275,3707,4109,4231,4211
310,2927,3310,3806,4046,3983
311,3128,3011,3440,3721,3740
312,3462,3740,4152,4543,4455
313,2825,3005,3427,3543,3622
314,3294,3117,3642,3738,3743
315,3353,3519,4004,4082,4253
316,3210,3416,3669,3859,3911
317,3454,3371,3924,4047,4161
318,3026,2956,3418,3480,3520
319,3483,3530,4046,4211,4191
320,3434,3601,4067,4249,4203
321,3093,3478,4039,4046,4197
322,2965,3253,3467,3466,3878
323,3111,3076,3273,3482,3700
324,3152,3142,3618,3963,4013
325,3695,6638,6828,6891,6923
326,4034,5946,6123,6119,6307
327,3357,3365,3472,4012,3916
328,3456,3421,3730,4198,4317
329,3125,3429,3683,4133,4272
330,2714,3385,3546,4117,4005
331,3162,3662,3832,4174,4380
332,3306,3492,3930,4332,4425
333,3130,3473,3775,4102,4191
334,2871,2732,3042,3528,3588
335,3117,2969,3249,3658,3793
336,3363,3422,3660,4156,4298
337,3273,3438,3830,4233,4326
338,3455,3331,3755,4123,4107
339,3475,3446,4022,4344,4342
340,3242,3314,3751,3851,3954
341,3114,2891,3513,3692,3616
342,3529,3748,4166,4476,4453
343,3079,3438,3752,3798,3935
344,2913,2708,3250,3473,3643
345,3399,3699,4183,4574,4532
346,3056,3141,3545,3632,3818
347,3228,3266,3570,3834,4108
348,3313,3599,4076,4372,4502
349,3334,3395,3825,4012,4186
350,3207,3234,3771,4005,4084
351,3099,3294,3733,3961,4016
352,3289,3343,3793,4008,4022
353,2859,2601,3193,3357,3398
354,2971,3203,3684,3733,3829
355,3144,3409,3864,4039,4044
356,4189,5105,5477,5561,5512
357,5209,8003,8153,8117,8152
358,5117,7910,8009,7980,8032
359,3331,3348,3279,3727,3531
360,2950,3361,3448,3929,3603
361,2979,3252,3585,4050,3664
362,3403,3313,3757,4069,3784
363,3329,3369,3847,4265,3876
364,3308,3296,3769,4136,3818
365,3089,3188,3691,3998,3699
366,3026,3246,3737,3806,3533
367,3300,3555,3910,4070,3844
368,3558,3561,4017,4241,4044
369,3033,3262,3811,3943,3876
370,3170,3206,3703,3754,3785
371,3127,3116,3677,3749,3750
372,3074,3011,3500,3614,3675
373,3591,3816,4217,4334,4311
374,3378,3444,4068,4238,4226
375,2907,3732,4214,4410,4420
376,3108,3178,3484,3652,3527
377,3103,2978,3525,3788,3674
378,4084,6670,6873,6989,6974
379,4122,6476,6656,6751,6762
380,2926,3417,3486,3971,3831
381,2806,2849,2790,3346,3412
382,3155,3269,3405,3864,3852
383,3068,3086,3396,3873,3816
384,3487,3674,3808,4185,4260
385,2974,2991,3372,3732,3567
386,3564,3532,3905,4280,4084
387,2896,2978,3195,3551,3537
388,3306,3566,3932,4190,4098
389,3353,3264,3557,3887,3767
390,3505,3484,3650,4183,4110
391,3335,3375,3548,3995,3940
392,3307,3366,3625,3991,4034
393,3834,4374,4562,4827,4950
394,2908,3624,3938,4285,4337
395,3215,3619,3692,3983,4186
396,3301,3466,3680,4024,3941
397,3108,3297,3326,3694,3845
398,2998,3125,3478,3679,3821
399,3259,3330,3728,3882,3960
400,2752,3510,3712,3841,4020
401,3143,3146,3670,4029,3877
402,3073,3022,3338,3684,3457
403,3186,3461,3848,4030,4004
404,2980,3225,3673,3765,3666
405,3245,3467,4000,4199,4004
406,3037,3645,4025,4143,4092
407,3518,3395,3896,4114,3995
408,2795,3012,3328,3456,3417
409,3228,3593,3942,4016,4119
410,3623,3707,4024,4345,4291
411,3174,3113,3723,3954,3814
412,2599,2853,3445,3632,3605
413,3891,6755,6984,7122,7131
414,4275,6628,6860,6805,6935
415,3132,3368,3286,3845,3758
416,3278,3056,3193,3797,3823
417,3184,3739,3878,4344,4348
418,3298,3228,3596,4231,4283
419,3430,3963,4075,4476,4585
420,3313,3546,3765,4241,4448
