Policy,Hit Rate,Hits,Misses,Requests,Evictions,Adaption,Steps,Time,Batch Hits
adaptive.Arc,80.61,1685246,405421,2090667,404421,-26.00,2090667,469,[6988 7281 6779 8196 8417 7415 8150 8566 9420 8344 9276 9303 9353 8970 8677 9472 8766 8713 9497 8896 7748 7763 8088 8419 7191 8741 9253 9577 9032 8599 9399 9291 8887 8153 8598 9610 9569 9001 8763 8512 9338 8939 9195 9368 9793 9835 9271 8053 8653 8843 9386 8783 8559 8494 8782 7876 8259 9046 8259 8395 9206 8397 8729 9102 8254 8711 9358 8547 8368 8820 8455 7790 7306 7478 7398 7725 7777 7916 7895 7860 7342 7193 7969 8426 8448 7564 6031 7142 7542 8133 7856 8377 6998 7946 9126 8212 8021 8254 8497 8586 7697 8607 8196 8160 7493 7680 7683 8450 7767 7267 7372 7021 7348 7551 7223 7424 8022 8154 8087 7521 7727 7449 8149 7418 7423 7411 8520 7887 7893 7956 8547 6906 6697 7261 6623 7780 7383 8110 6978 7438 7894 7672 7862 8165 7393 8582 7335 6684 8738 7304 6464 7537 8447 7496 8351 8415 7207 7403 6619 6202 7778 7631 8261 8138 7544 7748 8340 6456 8345 7128 8696 8643 8363 7598 8494 7070 7315 8631 8560 7835 7211 7353 7485 7233 7719 7506 7577 8558 6724 7890 8160 8154 7025 7731 7868 8057 7760 7953 7686 7460 8028 7799 7579 7941 8335 7228 7778 8231 7377 662]
linked.Fifo,77.24,1614856,475811,2090667,474811,,3705523,377,[6740 7250 6336 7979 8202 7501 8563 8879 8734 8118 8662 8864 8970 8350 8457 8561 8480 8419 9195 8612 7827 7647 7723 8104 5923 8031 8553 9271 8796 8364 9512 9022 8058 7783 8385 9240 9251 8572 8202 8272 9031 8642 8868 8930 9640 9810 9009 7612 8206 8107 9020 8415 8016 8146 8526 7672 7581 9058 7725 7906 8902 7866 8394 8582 7378 8759 9248 8761 7850 8410 8073 7821 7026 7355 7285 6749 7000 7360 7102 7029 6875 6679 7408 8127 8269 7463 6035 7368 7398 7310 7284 7680 6589 7694 8594 7659 8072 8362 8113 8331 7218 8533 7618 7882 7103 7857 7530 8631 7623 7297 7345 6803 6311 6535 6860 6901 6708 7638 7769 8364 7000 6721 7460 7025 8017 6929 7849 8006 8310 7388 8214 6307 6910 6864 5962 7914 7296 8098 6015 6834 6974 7353 7926 7732 6864 8352 6938 6418 8693 7238 6505 6334 8110 6933 7943 8137 6532 6997 6578 5924 7445 8065 7719 7051 6782 7160 8424 6355 8159 7018 8254 8535 8294 7048 7577 6675 7489 8536 8011 7344 6713 6956 7461 7051 7403 7467 7821 8192 6670 6987 7725 8119 6310 6732 7460 7713 7498 7288 7465 7276 7738 7895 7430 7777 8356 7028 7646 7538 6824 662]
linked.Lfu,8.16,170618,1920049,2090667,1919049,,2090667,476,[7640 6672 3018 3463 2081 878 3876 3115 3063 2848 3351 3459 3243 2894 3116 3746 3111 4048 3356 2938 2910 2880 2356 2078 2015 1776 1601 2219 2602 1746 1619 1861 1592 1480 1383 1458 1491 1474 1547 1361 1472 1385 747 1006 885 1250 1219 1256 931 1210 1347 1434 962 1467 1359 1560 1411 1207 1226 1259 1753 1126 1293 1095 1310 1240 1073 1072 999 1280 709 462 501 639 883 548 305 165 111 140 241 484 405 301 112 64 141 153 288 326 381 412 379 377 1413 720 452 595 498 362 359 528 224 187 226 486 685 731 319 271 79 67 38 19 458 68 29 49 31 48 75 64 51 56 60 58 37 64 130 48 67 48 50 22 36 152 89 31 37 45 57 68 54 64 54 40 47 88 748 91 62 56 143 110 142 158 139 131 161 312 198 68 208 61 51 65 276 175 225 169 67 89 63 60 83 90 50 132 65 54 104 156 116 89 76 96 110 127 67 99 69 75 42 73 44 74 103 100 32 136 112 53 99 74 235 50 145 106 85 9]
linked.Lru,79.51,1662275,428392,2090667,427392,,3752942,422,[6966 7352 6644 8370 8359 7425 8568 9229 9336 8264 9248 9332 9189 8512 8890 9422 8893 8836 9517 8919 7977 8044 7953 8467 6720 8513 9177 9580 9034 8565 9526 9357 8166 8406 8443 9618 9578 8809 8504 8612 9348 9084 9300 9204 9787 9838 9398 7976 8790 8858 9394 8869 8715 8600 8902 7882 8129 9297 7980 8169 9248 8308 8205 8933 8255 8939 9338 8626 7619 8913 8215 7696 7497 7269 7038 7308 7234 7685 7576 7550 7289 6732 7649 7839 8562 7804 5811 7418 7198 7550 7708 7654 6599 7770 8948 8165 7547 8323 8529 8539 7480 8815 7967 8393 7467 7712 7447 8560 7683 7351 7440 6964 6652 6585 6885 7030 7232 8172 7644 7394 7029 7109 8137 7248 7518 7408 8368 7570 7912 7652 8573 6531 6555 7207 6262 8102 7392 8020 6182 6852 7426 7877 7932 8087 7276 8827 7232 6594 8769 7189 6606 7208 8577 7106 8320 8419 7020 7222 6894 6303 7626 7474 8345 7378 7041 7317 8497 6475 8181 7264 8292 8857 8260 7319 7805 6965 7044 8838 8310 7460 6850 7090 7648 7218 7635 7676 7934 8578 6846 7660 7847 8125 6539 7031 7805 8075 7727 7620 7713 7546 7762 7712 7614 7769 8282 7365 7671 8078 7139 662]
product.Caffeine,78.66,1644488,446179,2090667,445179,,,924,[7500 6678 6267 7517 7585 5719 8192 7558 8943 8167 8614 8867 9065 8826 8827 7842 8818 8866 9151 8932 7987 7801 7999 7278 7222 8552 9167 8952 7346 8412 8897 9132 8778 8169 8652 9049 9115 8726 8576 8813 9350 8932 8606 8928 9787 9838 9392 8094 8608 8704 9390 8881 8276 8737 8809 8002 7884 8687 8385 8399 9224 8401 8475 8612 8203 8954 8233 8280 7706 8904 7943 7968 7804 7241 7242 7272 7116 7649 7474 7162 7362 6826 7615 7676 8130 6435 5994 7046 7036 7935 7729 7878 6959 7558 8943 8081 7509 8370 8481 8253 7509 8864 8002 7792 7410 7605 7677 8236 7831 7215 7475 6746 6908 7078 7398 7564 7558 8308 7876 8176 7622 7527 8440 7914 7729 7178 7282 7948 7688 7851 8585 6968 6430 7756 6409 8113 7494 7715 6665 7130 7326 7429 7863 7440 7455 8244 7114 7008 8716 7240 6513 6995 8536 6865 8191 8242 7075 7347 7191 6709 7698 7228 7416 6773 7071 6671 8471 6539 8319 6723 7855 8446 7959 7145 7877 7045 7175 8521 8345 7551 6566 6984 7776 6877 6533 7595 7587 8109 7012 7602 7998 8353 7144 7728 7968 7790 7823 7788 7946 8128 8210 8064 7943 8050 8330 7144 7882 7859 7113 662]
sampled.sampled.Hyperbolic,73.96,1546231,544436,2090667,543436,,6438155,700,[7349 7806 7163 7461 8245 6711 7986 7032 8329 7049 7949 8169 7801 7992 7687 7379 8385 7569 8126 8032 7085 6743 7627 7192 6362 7807 8555 7954 8265 8091 8331 8402 7451 7284 7855 8340 8233 8008 7814 7607 8291 7866 8039 7691 8009 8621 8644 7237 7558 7818 8736 8113 6984 8054 7435 7137 6791 8222 7569 8011 8068 7302 7989 7880 7654 8255 7902 7718 7560 7740 7767 7624 7673 7184 7235 7081 7250 7835 7078 6706 7517 7183 7425 7612 7813 6656 5905 6830 6756 7465 7222 7503 6954 7350 8202 7363 7362 7800 7427 7694 6777 7923 7244 6855 6661 7071 7427 8139 7470 6789 7055 6695 6864 6854 7209 7297 7393 8283 7589 8298 7665 7537 8420 7827 7466 6945 6643 7715 7709 7490 7802 6664 6031 7668 5902 7776 6958 7403 6443 6981 7402 7277 7555 6952 7207 7813 7287 6317 8552 6724 5859 6397 7587 5997 7650 7224 6104 7061 6819 6530 7379 7167 6480 6544 6545 6469 8155 6260 8241 6223 7399 7722 7648 6686 7652 6893 7147 7946 7461 7037 6424 6889 7433 6686 6525 7341 7420 7665 6672 6569 7736 7532 6506 7037 7862 7074 6933 7336 7216 7339 7499 7050 7454 7556 7851 6802 7511 7295 6459 661]
