Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
194,44,7805,7862,7868,7968
195,74,8075,7074,8057,7790
196,103,7727,6933,7760,7823
197,100,7620,7336,7953,7788
198,32,7713,7216,7686,7946
199,136,7546,7339,7460,8128
200,112,7762,7499,8028,8210
201,53,7712,7050,7799,8064
202,99,7614,7454,7579,7943
203,74,7769,7556,7941,8050
204,235,8282,7851,8335,8330
205,50,7365,6802,7228,7144
206,145,7671,7511,7778,7882
207,106,8078,7295,8231,7859
208,85,7139,6459,7377,7113
